301KG0KX9EZTIX38Y4LK073HE9J2HQ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  35LDD5557DIDEB6349C3GSTTUO6KMP	  https://twitter.com/FemBooze/status/1019682008849625088	  y
30UZJB2POJQ6NMFW12YGUK5JFES53N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1GKEEI844CEKI	  3ITXP059PZXL1MDQ6L8DRMSM7OIJSV	  https://twitter.com/Marsiglia_Tm/status/1018388232663429120	  y
30ZKOOGW2YK7JPDY9UBEE26898FA16	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  34T446B1C3SYSZN8NR87UC98MCWC0T	  https://twitter.com/BJD94634958/status/1018889330549575680	  y
30ZKOOGW2YK7JPDY9UBEE26898FA16	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3PDJHANYK8UKNIK3B82PE4GFC7MH67	  https://twitter.com/BJD94634958/status/1018889330549575680	  n
31D0ZWOD0CD7C0SGDB7E0XNY4G9A03	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  AGNJKSH5LFKXZ	  32RIADZISVIVY4U53EL9LK33PRZS4K	  https://twitter.com/AncientProphcy/status/1018733295104737280	  y
31D0ZWOD0CD7C0SGDB7E0XNY4G9A03	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3HMVI3QICM6B2R9VF2UW58K1USKY1Q	  https://twitter.com/AncientProphcy/status/1018733295104737280	  y
31N9JPQXIRWP7JS1KNJ4SV6FP4AHNW	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3FPRZHYEP1LQ80S5XVLVM2V4AVWV36	  https://twitter.com/SushChow/status/1018558541408493568	  y
31N9JPQXIRWP7JS1KNJ4SV6FP4AHNW	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3NC5L260MR0QYSZ1GE0JSJQTHS6OF8	  https://twitter.com/SushChow/status/1018558541408493568	  n
31YWE12TE2QXQO0T9KK1ZK8JDFO7X4	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  AGNJKSH5LFKXZ	  3E13VNJ1NQ9PCRUQBK8TJKQD49NI15	  https://twitter.com/thatgregperson/status/1021693488830840832	  y
31YWE12TE2QXQO0T9KK1ZK8JDFO7X4	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3LQ8PUHQFO60G2F4D9BEB76KLYIHI2	  https://twitter.com/thatgregperson/status/1021693488830840832	  y
329E6HTMSYG9550Z8P2MW9O1C4NK3N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  326O153BMLC7OH8GVU2XZ7TU1DJDEH	  https://twitter.com/Steffy_Weffy16/status/982494373639348224	  y
329E6HTMSYG9550Z8P2MW9O1C4NK3N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ADAGUJNWMEPT6	  39DD6S19JSPARIDCNCRUQZCXPVUZE3	  https://twitter.com/Steffy_Weffy16/status/982494373639348224	  y
32W3UF2EZQZC437FGQQ7IV3ZLVAC4N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3E47SOBEYTA9ZU4ORHXD0G9486FCIQ	  https://twitter.com/dailyoneliner1/status/982211569508433920	  y
32W3UF2EZQZC437FGQQ7IV3ZLVAC4N	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3PIWWX1FJMKS2JU0JRZZZL1ZB5CJJM	  https://twitter.com/dailyoneliner1/status/982211569508433920	  y
337F8MIIM1RSABCZ4AXNNU1YC6D04I	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  38JBBYETQROUOLPN2J14W3ZOO0OE43	  https://twitter.com/thatgregperson/status/1020061114233761792	  y
337F8MIIM1RSABCZ4AXNNU1YC6D04I	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3A9AA95ATZ0GHVIDP20PV74623NP56	  https://twitter.com/thatgregperson/status/1020061114233761792	  y
33IXYHIZB7WHYNC683DEF464MTR2EA	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3A0EX8ZRNB2CFPRNHZNLBKXAG4CBYN	  https://twitter.com/Simplyshadie/status/1018035969713426432	  y
33IXYHIZB7WHYNC683DEF464MTR2EA	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3JAOYWH7VLI9RX5R00KZQ60OJP69LK	  https://twitter.com/Simplyshadie/status/1018035969713426432	  n
33P2GD6NRP6OZD7YNARO03PBV95HKR	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  33PPUNGG3BJZ0MIH9IBUP6BG4KIRZ6	  https://twitter.com/jakefunc/status/982608877232513024	  y
33P2GD6NRP6OZD7YNARO03PBV95HKR	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  3SITXWYCNYNNFK1DC31JS6Q1EYFBXE	  https://twitter.com/jakefunc/status/982608877232513024	  y
341YLJU21KDTESES4M350J4WEMY2IJ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  31EUONYN2YHFUPLRGT5NA5TF5MSOVU	  https://twitter.com/Nyladijoque/status/1020126193893376000	  y
341YLJU21KDTESES4M350J4WEMY2IJ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3YWRV122CVDCWI9B4M6MHX1WCAGU89	  https://twitter.com/Nyladijoque/status/1020126193893376000	  y
34F34TZU7YDP93YYM4O5CKJWR1N2JV	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1GKEEI844CEKI	  3FE2ERCCZ0M2P5OVUHWO4D4XJYMOP4	  https://twitter.com/briannaorlando2/status/1020210864673050624	  y
34F34TZU7YDP93YYM4O5CKJWR1N2JV	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3K9FOBBF2KXUGZ9L1A3487V8OELNLV	  https://twitter.com/briannaorlando2/status/1020210864673050624	  y
34ZTTGSNJZ2AAG5T0FBLWP1KUFXHQJ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3EWIJTFFVRLDPX7MJIE2K09B7OAE0P	  https://twitter.com/masadies_benz/status/1019080797377191936	  n
34ZTTGSNJZ2AAG5T0FBLWP1KUFXHQJ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1GKEEI844CEKI	  3MYYFCXHJ6LS8ZLE8ERSW6K01GZ4G6	  https://twitter.com/masadies_benz/status/1019080797377191936	  n
359AP8GAGIY9NQPYIOOEL7N9CX0C77	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  36WLNQG782OE9KAWHYBR4H5UYS7EBB	  https://twitter.com/gargoylekitty/status/982902550511808512	  y
359AP8GAGIY9NQPYIOOEL7N9CX0C77	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3NVC2EB65TD7CUNA268FT1ZYSC03YP	  https://twitter.com/gargoylekitty/status/982902550511808512	  n
35F6NGNVMAXQ97R94AJ4AHND0J07TL	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3IUZPWIU1RL9JN0H8BIQPQVKSQLWKT	  https://twitter.com/thatgregperson/status/1020169020656562176	  y
35F6NGNVMAXQ97R94AJ4AHND0J07TL	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3QUO65DNQX2FHAWRB3VIEJRWRFKUOC	  https://twitter.com/thatgregperson/status/1020169020656562176	  y
36818Z1KV5R3TSRDWYPX2VL57STA3Y	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  31LVTDXBLAOFVX1DUHKLHR0IPB8RLL	  https://twitter.com/Smushy_Bear/status/1019411695993835520	  n
36818Z1KV5R3TSRDWYPX2VL57STA3Y	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3P1L2B7AD43CYK9X2P3HNWVDEOROLC	  https://twitter.com/Smushy_Bear/status/1019411695993835520	  y
36D1BWBEHPFFAB4JP11XSCBDVVI2MZ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3GNCZX450L1DN1UUKYR63IKSUHOPAC	  https://twitter.com/under1roof27/status/1020862196220342272	  y
36D1BWBEHPFFAB4JP11XSCBDVVI2MZ	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3ND9UOO81NGK3TIZTBUR4Q8ZHQPWLV	  https://twitter.com/under1roof27/status/1020862196220342272	  y
36FFXPMSTB27P4SDL2JH7K6KFEFHOB	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  337RC3OW08G7O4IU31PVIOPLAHNVLK	  https://twitter.com/AveryMcCall08/status/1018669156865138688	  y
36FFXPMSTB27P4SDL2JH7K6KFEFHOB	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3TXWC2NHN24WVA0HK9H02SEJBJDS9G	  https://twitter.com/AveryMcCall08/status/1018669156865138688	  n
378G7J1SJNC3A3ADMN2L3BMTQ0MEW4	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  35LDD5557DIDEB6349C3GSTTUO8MKT	  https://twitter.com/AmyMWalshy/status/1018607493667225600	  n
378G7J1SJNC3A3ADMN2L3BMTQ0MEW4	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3RXPCZQMQSPBG0OVLW8QY8DXPWVG1B	  https://twitter.com/AmyMWalshy/status/1018607493667225600	  s
379OL9DBSUSQ4CEWTD4NWU6YAB69YO	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3M23Y66PO5L9DRYJM2EOIINHLI6S66	  https://twitter.com/KizunaPercy/status/1018173378761375744	  n
379OL9DBSUSQ4CEWTD4NWU6YAB69YO	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3TR2532VIS8GEOFTZ85AQHWUPZSJ6G	  https://twitter.com/KizunaPercy/status/1018173378761375744	  s
37VHPF5VYEHDN4UHSTGKZ7J4NH6C8U	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3OCHAWUVGRYO8N57IGECR99R1SQXKM	  https://twitter.com/jazi_jay53/status/1017675421247160320	  y
37VHPF5VYEHDN4UHSTGKZ7J4NH6C8U	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3SITXWYCNYNNFK1DC31JS6Q1EYGBXF	  https://twitter.com/jazi_jay53/status/1017675421247160320	  y
37YYO3NWHF4FZ7KU95WP1TFND8RCC0	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3AZHRG4CU7YAFZRPUYX6195EGZL30O	  https://twitter.com/kell_rae/status/1019525312294449152	  y
37YYO3NWHF4FZ7KU95WP1TFND8RCC0	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3KYQYYSHYYLT08L5P85T4JN85FPDOL	  https://twitter.com/kell_rae/status/1019525312294449152	  y
386659BNTNVBICFGHSELPWUV0M3015	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3B3WTRP3DEG3QBJJQU2UBA1FDPE29N	  https://twitter.com/Raymalhunter1/status/1018313002116898816	  y
386659BNTNVBICFGHSELPWUV0M3015	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  AGNJKSH5LFKXZ	  3M0NZ3JDP4CAVZKJCBYRM56KC2UZ51	  https://twitter.com/Raymalhunter1/status/1018313002116898816	  y
388CL5C1RL1ZJJPG8A3PF32QK9AHLU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3DYGAII7POM5AH1B9UOSTIZXYZAPQJ	  https://twitter.com/charlotte089x/status/983016281896038400	  y
388CL5C1RL1ZJJPG8A3PF32QK9AHLU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ADAGUJNWMEPT6	  3TVSS0C0E4E8M6Q42KWIQHIGB3DWT0	  https://twitter.com/charlotte089x/status/983016281896038400	  y
391FPZIE4E0229CAHOVQ6QY9X03HUO	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3U5JL4WY5NN3ULG4XORWKSKV4634X6	  https://twitter.com/onlymaggiej/status/1020816724877299712	  n
391FPZIE4E0229CAHOVQ6QY9X03HUO	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3ZQIG0FLQHUNZYUT7FWXRZ618ORVWD	  https://twitter.com/onlymaggiej/status/1020816724877299712	  y
39KMGHJ4R1OBBNUYL9ALBRBLVUX002	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2RHLZO74ZXQV3	  3PQMUDRV7UK0CXQOJRTZBJ7ZLBWIIV	  https://twitter.com/eliasklitchko/status/1017959703895162880	  y
39KMGHJ4R1OBBNUYL9ALBRBLVUX002	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3TPWUS5F8CFR0POTGY1S17ICNHCCWW	  https://twitter.com/eliasklitchko/status/1017959703895162880	  y
39KV3A5D1ALPU7EUFAEE0CRRY0M7SW	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3QBD8R3Z24XG0C2CWX401FT2S2WO4J	  https://twitter.com/SadiqShigri/status/1019571468777246720	  y
39KV3A5D1ALPU7EUFAEE0CRRY0M7SW	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3YT88D1N0BCCSPYTYR7OKTKNUXR3KU	  https://twitter.com/SadiqShigri/status/1019571468777246720	  y
39O0SQZVJPLDTSEH0LE9A2MVCY37R8	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  304SM51WA6IFJ3FEITVWTY99ZJGSBQ	  https://twitter.com/AncientProphcy/status/1018739422752223232	  n
39O0SQZVJPLDTSEH0LE9A2MVCY37R8	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ARM2CBQGJCQ5Z	  3E13VNJ1NQ9PCRUQBK8TJKQD49K1IL	  https://twitter.com/AncientProphcy/status/1018739422752223232	  s
39RRBHZ0AWFO6914S0B22J4X7XSZVK	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  39GAF6DQWUEUYXEQAR7CY9G7CBI1VK	  https://twitter.com/bitchy__kitchen/status/981805844844036096	  n
39RRBHZ0AWFO6914S0B22J4X7XSZVK	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3WT783CTPEVZCMQIL75WET5RDGUBCF	  https://twitter.com/bitchy__kitchen/status/981805844844036096	  s
39XCQ6V3K0I5K52EK4WE1NH3P5U56T	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3KRVW3HTZQZB2UJB9IL57EK3BIJSME	  https://twitter.com/iAmAbboi/status/1020352520500068352	  y
39XCQ6V3K0I5K52EK4WE1NH3P5U56T	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  3VAR3R6G1SFHJDPE80UDIR97UOPO8N	  https://twitter.com/iAmAbboi/status/1020352520500068352	  y
3BAWBGQGYND5MZVY95JJBZBYX4G7V1	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  32VNZTT0AAIJXPUSOPL4VAY73PGR4V	  https://twitter.com/feliciaak_/status/1020543906923020288	  y
3BAWBGQGYND5MZVY95JJBZBYX4G7V1	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3EO896NRAZ9MGMQ5VLD31RO8972JTQ	  https://twitter.com/feliciaak_/status/1020543906923020288	  y
3BCRDCM0OF882ONHRR0K3C0LMVPK6T	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3OJSZ2ATDVARBPEDTG68VLDL29H57F	  https://twitter.com/kimnrubyharris/status/983133118503809024	  y
3BCRDCM0OF882ONHRR0K3C0LMVPK6T	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ADAGUJNWMEPT6	  3RU7GD8VPR7HNXGO1YDXOIEYGNWPS9	  https://twitter.com/kimnrubyharris/status/983133118503809024	  y
3CIS7GGG67XQIZL8RNNKLN1W5KBEU5	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  31QNSG6A5U7AY7XFREDB75NC4ZI87K	  https://twitter.com/TylerRector6/status/982487945465815040	  s
3CIS7GGG67XQIZL8RNNKLN1W5KBEU5	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  378XPAWRUFRL6F7Q731MULJG83UIAU	  https://twitter.com/TylerRector6/status/982487945465815040	  n
3D3B8GE8945WVYMV2Q84J3DM6639PU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1GKEEI844CEKI	  3NG53N1RLYXZ4D1FN07S7REX4TIP82	  https://twitter.com/_gustanovic/status/982016074345574400	  y
3D3B8GE8945WVYMV2Q84J3DM6639PU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3NS0A6KXC7M8BW93T7HIQ2X92B7ZGI	  https://twitter.com/_gustanovic/status/982016074345574400	  y
3D4BBDG7ZJARM7OBGCLO8QBT7VEC32	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  ARM2CBQGJCQ5Z	  323Q6SJS8LUG6BDEC15T8ATS56NHF8	  https://twitter.com/NateHan_sen/status/982103435901374464	  s
3D4BBDG7ZJARM7OBGCLO8QBT7VEC32	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3CP1TO84PWFKPOH7N4PDZUWDRTV52Z	  https://twitter.com/NateHan_sen/status/982103435901374464	  y
3DQYSJDTYNPIZ3F3WSY75U00Z2SEXX	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3018Q3ZVOL4YZEA9XQVV8DK7VZCRA6	  https://twitter.com/GTBilly13/status/1019180349014802432	  y
3DQYSJDTYNPIZ3F3WSY75U00Z2SEXX	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  31Q0U3WYDSTSN7DUST4WSV04QTD710	  https://twitter.com/GTBilly13/status/1019180349014802432	  n
3DTJ4WT8BFT74YFIXAMS2FGB72QEZU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2RHLZO74ZXQV3	  379J5II41RUQMTW88B0LIK1ZAMJLE3	  https://twitter.com/Big_Gorc/status/1019938651210383360	  y
3DTJ4WT8BFT74YFIXAMS2FGB72QEZU	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3VAR3R6G1SFHJDPE80UDIR97UOSO8Q	  https://twitter.com/Big_Gorc/status/1019938651210383360	  y
3EFNPKWBMU27SFTV4WS4DP9SY6H03X	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3L70J4KAZJ04Y4R4FP0B3O33GYLDAM	  https://twitter.com/BethSalisbury__/status/1018980449794871296	  y
3EFNPKWBMU27SFTV4WS4DP9SY6H03X	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3ZGVPD4G6WVCG1V9D7GPPLCYS5EZTQ	  https://twitter.com/BethSalisbury__/status/1018980449794871296	  n
3EQVJH0T42ZN2WXLHJ5G1UC7EMWHTX	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  37Q970SNZHME65XMGW27NMW0D7P1SG	  https://twitter.com/Country_lez/status/1020156313098170368	  y
3EQVJH0T42ZN2WXLHJ5G1UC7EMWHTX	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  38F71OA9GWA2YPEP3YL60F1OMSPFMI	  https://twitter.com/Country_lez/status/1020156313098170368	  y
3FBEFUUYRMJ2QBEVF0NV9YXPHJVA64	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3EJJQNKU9UJD91IN3W5NPZ7B8U1RHG	  https://twitter.com/JerryBrianRocks/status/1020348802442514432	  y
3G3AJKPCXN6P768KCI8WFMVIOJS4YN	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  AGNJKSH5LFKXZ	  33NF62TLXMGND30I1CZB001CQUCKJM	  https://twitter.com/RedLanternK/status/982163241928294400	  n
3G3AJKPCXN6P768KCI8WFMVIOJS4YN	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3IAEQB9FMHY15HU7GUW3LD0U8HNWDF	  https://twitter.com/RedLanternK/status/982163241928294400	  y
3G57RS03HJJH24JDX2KBBA0R90S52C	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1GKEEI844CEKI	  3WJ1OXY92DUSH9VDYHPVHWP257I8A5	  https://twitter.com/MissJennyWongUK/status/1018106702548340736	  n
3G57RS03HJJH24JDX2KBBA0R90S52C	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3WMOAN2SREBXC4LFFE5AVGTAFCNVNM	  https://twitter.com/MissJennyWongUK/status/1018106702548340736	  y
3H1C3QRA03XUW5485W2KRHFQYK4CET	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  33JKGHPFYF8EMHR61M4J8KAXOJBMNW	  https://twitter.com/StuckInABocks/status/1019840318534045696	  y
3H1C3QRA03XUW5485W2KRHFQYK4CET	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  36NEMU28XIR49B0KTNV643NOHVDWMV	  https://twitter.com/StuckInABocks/status/1019840318534045696	  y
3H781YYV6VWBIM6JRIXAGRFUM64ETE	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  3M81GAB8A3X36N01QP6RYYU8HVWBQL	  https://twitter.com/joekabye/status/982396181572669440	  y
3H781YYV6VWBIM6JRIXAGRFUM64ETE	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3NL0RFNU0I1XALHXY5C7UYCT8XMK4V	  https://twitter.com/joekabye/status/982396181572669440	  y
3HEA4ZVWVF091120FLM99H33TAJ55D	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  35BLDD71I9BRTTZYI2G4Q30JPQUZV6	  https://twitter.com/thatgregperson/status/1020170199545368576	  n
3HEA4ZVWVF091120FLM99H33TAJ55D	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  3DZQRBDBSOTAG8B130GQBFBXBR33SA	  https://twitter.com/thatgregperson/status/1020170199545368576	  y
3HXCEECSQO75A3W9XBYM9I8RPEUZYT	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  37QW5D2ZRJ0WH5H7FHBM2WJ8RDUS8Q	  https://twitter.com/acecable/status/982867922824593408	  y
3HXCEECSQO75A3W9XBYM9I8RPEUZYT	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A1BAEFJ2OG7NJ0	  3SITXWYCNYNNFK1DC31JS6Q1EYGXB1	  https://twitter.com/acecable/status/982867922824593408	  n
3HXK2V1N4MTFI18XEY32F7RGZ962GR	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A130P4M9JPT4YA	  326O153BMLC7OH8GVU2XZ7TU1DKEDJ	  https://twitter.com/teriwithzeal/status/1018837845396553728	  y
3HXK2V1N4MTFI18XEY32F7RGZ962GR	  3MRAM659HJ6FZ2G1ETOP23WMYA3O5O	  A2R76CKAHFJ6JM	  32Z9ZLUT1OYACOQ7B4OJV426X7HHOX	  https://twitter.com/teriwithzeal/status/1018837845396553728	  y
